Notes,County,County Code,Year,Year Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths
,"Alachua County, FL",12001.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
,"Bay County, FL",12005.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0
,"Brevard County, FL",12009.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,83.0
,"Broward County, FL",12011.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,170.0
,"Citrus County, FL",12017.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0
,"Clay County, FL",12019.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0
,"Collier County, FL",12021.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0
,"Duval County, FL",12031.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,107.0
,"Escambia County, FL",12033.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0
,"Hernando County, FL",12053.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
,"Highlands County, FL",12055.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
,"Hillsborough County, FL",12057.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,114.0
,"Indian River County, FL",12061.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
,"Lake County, FL",12069.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0
,"Lee County, FL",12071.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,61.0
,"Leon County, FL",12073.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
,"Manatee County, FL",12081.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,42.0
,"Marion County, FL",12083.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,33.0
,"Martin County, FL",12085.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
,"Miami-Dade County, FL",12086.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,82.0
,"Monroe County, FL",12087.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0
,"Okaloosa County, FL",12091.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0
,"Orange County, FL",12095.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,83.0
,"Osceola County, FL",12097.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
,"Palm Beach County, FL",12099.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,175.0
,"Pasco County, FL",12101.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,52.0
,"Pinellas County, FL",12103.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,112.0
,"Polk County, FL",12105.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,42.0
,"St. Lucie County, FL",12111.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0
,"Santa Rosa County, FL",12113.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0
,"Sarasota County, FL",12115.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,50.0
,"Seminole County, FL",12117.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,33.0
,"Volusia County, FL",12127.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,48.0
,"Bexar County, TX",48029.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,84.0
,"Brazoria County, TX",48039.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
,"Collin County, TX",48085.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0
,"Comal County, TX",48091.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
,"Dallas County, TX",48113.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,124.0
,"Denton County, TX",48121.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0
,"Ector County, TX",48135.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
,"El Paso County, TX",48141.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,52.0
,"Fort Bend County, TX",48157.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
,"Galveston County, TX",48167.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0
,"Harris County, TX",48201.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,244.0
,"Jefferson County, TX",48245.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0
,"Lubbock County, TX",48303.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
,"Montgomery County, TX",48339.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,45.0
,"Nueces County, TX",48355.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,37.0
,"Orange County, TX",48361.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0
,"Parker County, TX",48367.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
,"Tarrant County, TX",48439.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,112.0
,"Taylor County, TX",48441.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
,"Tom Green County, TX",48451.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
,"Travis County, TX",48453.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,66.0
,"Webb County, TX",48479.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
,"Wichita County, TX",48485.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0
,"Williamson County, TX",48491.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
,"Benton County, WA",53005.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
,"Clark County, WA",53011.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0
,"King County, WA",53033.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,132.0
,"Kitsap County, WA",53035.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0
,"Pierce County, WA",53053.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,77.0
,"Skagit County, WA",53057.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
,"Snohomish County, WA",53061.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,65.0
,"Spokane County, WA",53063.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,58.0
,"Thurston County, WA",53067.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0
,"Whatcom County, WA",53073.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
,"Yakima County, WA",53077.0,2003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
,"Bay County, FL",12005.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0
,"Brevard County, FL",12009.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,96.0
,"Broward County, FL",12011.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,190.0
,"Charlotte County, FL",12015.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0
,"Citrus County, FL",12017.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
,"Clay County, FL",12019.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0
,"Collier County, FL",12021.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0
,"Duval County, FL",12031.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,91.0
,"Escambia County, FL",12033.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,33.0
,"Hernando County, FL",12053.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
,"Hillsborough County, FL",12057.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,127.0
,"Indian River County, FL",12061.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
,"Lake County, FL",12069.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
,"Lee County, FL",12071.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,81.0
,"Manatee County, FL",12081.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,46.0
,"Marion County, FL",12083.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0
,"Martin County, FL",12085.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0
,"Miami-Dade County, FL",12086.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,99.0
,"Monroe County, FL",12087.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
,"Nassau County, FL",12089.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
,"Okaloosa County, FL",12091.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0
,"Orange County, FL",12095.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,75.0
,"Osceola County, FL",12097.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
,"Palm Beach County, FL",12099.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,170.0
,"Pasco County, FL",12101.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,72.0
,"Pinellas County, FL",12103.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,142.0
,"Polk County, FL",12105.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,51.0
,"Putnam County, FL",12107.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
,"St. Johns County, FL",12109.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
,"St. Lucie County, FL",12111.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0
,"Santa Rosa County, FL",12113.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0
,"Sarasota County, FL",12115.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,47.0
,"Seminole County, FL",12117.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0
,"Volusia County, FL",12127.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,60.0
,"Anderson County, TX",48001.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
,"Bexar County, TX",48029.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,92.0
,"Brazoria County, TX",48039.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0
,"Cameron County, TX",48061.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0
,"Collin County, TX",48085.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0
,"Dallas County, TX",48113.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,144.0
,"Denton County, TX",48121.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0
,"Ector County, TX",48135.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
,"El Paso County, TX",48141.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0
,"Galveston County, TX",48167.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0
,"Harris County, TX",48201.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,293.0
,"Hidalgo County, TX",48215.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
,"Jefferson County, TX",48245.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0
,"Lubbock County, TX",48303.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0
,"McLennan County, TX",48309.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
,"Montgomery County, TX",48339.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,28.0
,"Nueces County, TX",48355.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0
,"Orange County, TX",48361.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0
,"Parker County, TX",48367.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
,"Smith County, TX",48423.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
,"Tarrant County, TX",48439.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,108.0
,"Taylor County, TX",48441.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
,"Travis County, TX",48453.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,74.0
,"Webb County, TX",48479.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
,"Wichita County, TX",48485.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
,"Williamson County, TX",48491.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
,"Benton County, WA",53005.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
,"Clallam County, WA",53009.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
,"Clark County, WA",53011.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0
