STATE,COUNTY,STNAME,CTYNAME,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,_merge
1,0,Alabama,Alabama,4451849.0,4464034.0,4472420.0,4490591.0,4512190.0,4545049.0,4597688.0,4637904.0,4677464.0,4708708.0,4785437.0,4799069.0,4815588.0,4830081.0,4841799.0,4852347.0,4863525.0,4874486.0,4887681.0,4903185.0,both
1,1,Alabama,Autauga County,43872.0,44434.0,45157.0,45762.0,46933.0,47870.0,49105.0,49834.0,50354.0,50756.0,54773.0,55227.0,54954.0,54727.0,54893.0,54864.0,55243.0,55390.0,55533.0,55869.0,both
1,3,Alabama,Baldwin County,141358.0,144988.0,148141.0,151707.0,156573.0,162564.0,168516.0,172815.0,176212.0,179878.0,183112.0,186558.0,190145.0,194885.0,199183.0,202939.0,207601.0,212521.0,217855.0,223234.0,both
1,5,Alabama,Barbour County,29035.0,29223.0,29289.0,29480.0,29458.0,29452.0,29556.0,29736.0,29836.0,29737.0,27327.0,27341.0,27169.0,26937.0,26755.0,26283.0,25806.0,25157.0,24872.0,24686.0,both
1,7,Alabama,Bibb County,19936.0,20942.0,20983.0,21037.0,21208.0,21375.0,21285.0,21485.0,21589.0,21587.0,22870.0,22745.0,22667.0,22521.0,22553.0,22566.0,22586.0,22550.0,22367.0,22394.0,both
1,9,Alabama,Blount County,51181.0,51999.0,52775.0,53726.0,54469.0,55035.0,55978.0,56866.0,57794.0,58345.0,57376.0,57560.0,57580.0,57619.0,57526.0,57526.0,57494.0,57787.0,57771.0,57826.0,both
1,11,Alabama,Bullock County,11604.0,11381.0,11261.0,11305.0,11038.0,10975.0,10739.0,10966.0,10921.0,10985.0,10876.0,10675.0,10606.0,10549.0,10663.0,10400.0,10389.0,10176.0,10174.0,10101.0,both
1,13,Alabama,Butler County,21313.0,21036.0,20607.0,20536.0,20476.0,20338.0,20231.0,20243.0,20171.0,19964.0,20932.0,20866.0,20670.0,20356.0,20327.0,20162.0,20012.0,19888.0,19631.0,19448.0,both
1,15,Alabama,Calhoun County,111342.0,111019.0,110860.0,111378.0,111615.0,112081.0,112453.0,112808.0,113422.0,114081.0,118408.0,117744.0,117190.0,116471.0,115917.0,115469.0,114973.0,114710.0,114331.0,113605.0,both
1,17,Alabama,Chambers County,36593.0,36281.0,35952.0,35626.0,35387.0,35173.0,34822.0,34731.0,34473.0,34320.0,34122.0,34033.0,34104.0,34139.0,33977.0,33996.0,33745.0,33707.0,33600.0,33254.0,both
1,19,Alabama,Cherokee County,24053.0,24078.0,24143.0,24159.0,24291.0,24268.0,24531.0,24474.0,24413.0,24448.0,25963.0,25989.0,25958.0,26017.0,25895.0,25732.0,25768.0,25805.0,26014.0,26196.0,both
1,21,Alabama,Chilton County,39781.0,40030.0,40460.0,40776.0,41170.0,41510.0,41821.0,42362.0,42696.0,42971.0,43653.0,43689.0,43582.0,43628.0,43760.0,43700.0,43866.0,44120.0,44163.0,44428.0,both
1,23,Alabama,Choctaw County,15850.0,15652.0,15342.0,15168.0,14894.0,14507.0,14389.0,14178.0,14083.0,13990.0,13849.0,13609.0,13563.0,13397.0,13317.0,13231.0,13045.0,12925.0,12833.0,12589.0,both
1,25,Alabama,Clarke County,27833.0,27634.0,27273.0,27076.0,26944.0,26740.0,26729.0,26416.0,26264.0,26042.0,25766.0,25587.0,25155.0,25123.0,24864.0,24698.0,24340.0,24063.0,23918.0,23622.0,both
1,27,Alabama,Clay County,14264.0,14257.0,14173.0,14066.0,13939.0,13847.0,13777.0,13772.0,13807.0,13640.0,13898.0,13687.0,13434.0,13404.0,13441.0,13415.0,13393.0,13350.0,13294.0,13235.0,both
1,29,Alabama,Cleburne County,14156.0,14196.0,14376.0,14378.0,14264.0,14276.0,14433.0,14692.0,14736.0,14759.0,15004.0,14928.0,14889.0,14976.0,15026.0,14914.0,14848.0,14899.0,15010.0,14910.0,both
1,31,Alabama,Coffee County,43540.0,43581.0,43759.0,44186.0,44712.0,45159.0,45639.0,46806.0,47773.0,48635.0,50208.0,50444.0,51141.0,50681.0,50657.0,50963.0,51202.0,51853.0,51950.0,52342.0,both
1,33,Alabama,Colbert County,55024.0,54841.0,54594.0,54319.0,54427.0,54399.0,54462.0,54606.0,54626.0,54639.0,54524.0,54539.0,54570.0,54529.0,54462.0,54417.0,54497.0,54695.0,55004.0,55241.0,both
1,35,Alabama,Conecuh County,14040.0,13894.0,13699.0,13436.0,13238.0,13176.0,13309.0,13118.0,13038.0,12931.0,13236.0,13195.0,13046.0,12912.0,12677.0,12678.0,12500.0,12431.0,12292.0,12067.0,both
1,37,Alabama,Coosa County,11843.0,11746.0,11539.0,11423.0,11156.0,10964.0,10857.0,10783.0,10724.0,10556.0,11780.0,11486.0,11346.0,11254.0,11037.0,10934.0,10819.0,10724.0,10643.0,10663.0,both
1,39,Alabama,Covington County,37490.0,36939.0,36661.0,36495.0,36322.0,36594.0,36717.0,36804.0,36646.0,36678.0,37809.0,38020.0,37805.0,37814.0,37760.0,37556.0,37382.0,37062.0,36953.0,37049.0,both
1,41,Alabama,Crenshaw County,13696.0,13700.0,13580.0,13562.0,13602.0,13541.0,13688.0,13741.0,13686.0,13781.0,13869.0,13894.0,13915.0,13847.0,13851.0,13850.0,13916.0,13858.0,13825.0,13772.0,both
1,43,Alabama,Cullman County,77580.0,77661.0,77814.0,78110.0,78711.0,79382.0,79871.0,80602.0,81518.0,81778.0,80456.0,80410.0,80279.0,80690.0,81068.0,81761.0,82450.0,82867.0,83418.0,83768.0,both
1,45,Alabama,Dale County,49068.0,49001.0,49070.0,49052.0,48691.0,48319.0,48038.0,48263.0,48400.0,48147.0,50394.0,50122.0,50289.0,49771.0,49414.0,49365.0,49362.0,49342.0,49143.0,49172.0,both
1,47,Alabama,Dallas County,46181.0,45910.0,44944.0,44504.0,43927.0,43358.0,43050.0,42780.0,42627.0,41925.0,43854.0,43251.0,42789.0,41976.0,41554.0,40936.0,40080.0,39238.0,38294.0,37196.0,both
1,49,Alabama,DeKalb County,64638.0,65519.0,65545.0,66009.0,66574.0,66920.0,67447.0,68275.0,68894.0,69380.0,71163.0,71365.0,70944.0,70912.0,70993.0,71087.0,71104.0,71437.0,71407.0,71513.0,both
1,51,Alabama,Elmore County,66230.0,67566.0,68822.0,70151.0,71276.0,73241.0,75511.0,77459.0,78125.0,79233.0,79552.0,79993.0,80193.0,80536.0,80538.0,80872.0,81204.0,81422.0,81011.0,81209.0,both
1,53,Alabama,Escambia County,38402.0,38430.0,38319.0,38028.0,37888.0,37642.0,37572.0,37623.0,37532.0,37434.0,38345.0,38204.0,38023.0,37765.0,37735.0,37661.0,37475.0,36993.0,36524.0,36633.0,both
1,55,Alabama,Etowah County,103313.0,102914.0,102815.0,102698.0,102657.0,102602.0,102854.0,103216.0,103435.0,103645.0,104459.0,104369.0,104278.0,103884.0,103399.0,102998.0,102855.0,103007.0,102611.0,102268.0,both
1,57,Alabama,Fayette County,18456.0,18341.0,18244.0,18145.0,17998.0,18012.0,17758.0,17538.0,17577.0,17371.0,17229.0,17052.0,16945.0,16824.0,16772.0,16696.0,16563.0,16466.0,16445.0,16302.0,both
1,59,Alabama,Franklin County,31208.0,31112.0,30766.0,30684.0,30533.0,30673.0,30791.0,30627.0,31051.0,31091.0,31746.0,31776.0,31690.0,31553.0,31559.0,31515.0,31611.0,31542.0,31298.0,31362.0,both
1,61,Alabama,Geneva County,25790.0,25528.0,25458.0,25481.0,25458.0,25584.0,25769.0,25717.0,25971.0,25961.0,26777.0,26756.0,26924.0,26677.0,26593.0,26631.0,26494.0,26385.0,26306.0,26271.0,both
1,63,Alabama,Greene County,9946.0,9864.0,9840.0,9697.0,9534.0,9472.0,9119.0,9100.0,9039.0,8829.0,8991.0,8903.0,8848.0,8748.0,8584.0,8508.0,8482.0,8310.0,8209.0,8111.0,both
1,65,Alabama,Hale County,18288.0,18271.0,18047.0,18013.0,17876.0,17921.0,17901.0,18091.0,18083.0,17975.0,15745.0,15361.0,15364.0,15246.0,15046.0,15015.0,14828.0,14801.0,14749.0,14651.0,both
1,67,Alabama,Henry County,16344.0,16301.0,16326.0,16370.0,16432.0,16424.0,16555.0,16653.0,16623.0,16647.0,17296.0,17377.0,17153.0,17129.0,17079.0,17101.0,17072.0,17115.0,17173.0,17205.0,both
1,69,Alabama,Houston County,88919.0,89437.0,89849.0,91147.0,92374.0,93614.0,95511.0,97392.0,98852.0,100085.0,101798.0,102488.0,103371.0,103643.0,104158.0,104260.0,104218.0,104378.0,104770.0,105882.0,both
1,71,Alabama,Jackson County,54029.0,53972.0,53648.0,53483.0,53217.0,52923.0,52998.0,52796.0,52934.0,52838.0,53184.0,53214.0,53079.0,52957.0,52562.0,52195.0,51988.0,51828.0,51621.0,51626.0,both
1,73,Alabama,Jefferson County,662214.0,661494.0,659766.0,660486.0,660016.0,659715.0,661447.0,661477.0,663394.0,665027.0,658215.0,658109.0,658061.0,659265.0,659972.0,660455.0,660343.0,659599.0,659429.0,658573.0,both
1,75,Alabama,Lamar County,15905.0,15561.0,15317.0,15065.0,14828.0,14707.0,14456.0,14484.0,14341.0,14200.0,14496.0,14291.0,14248.0,14212.0,14067.0,13927.0,13928.0,13882.0,13882.0,13805.0,both
1,77,Alabama,Lauderdale County,87982.0,87393.0,86872.0,86944.0,87203.0,87437.0,87992.0,88522.0,89200.0,89599.0,92737.0,92607.0,92662.0,92701.0,93000.0,92459.0,92425.0,92564.0,92604.0,92729.0,both
1,79,Alabama,Lawrence County,34856.0,34836.0,34643.0,34393.0,34204.0,34293.0,33875.0,34151.0,34047.0,34106.0,34342.0,34051.0,33806.0,33575.0,33444.0,33135.0,33227.0,33063.0,32941.0,32924.0,both
1,81,Alabama,Lee County,115511.0,116759.0,118197.0,119631.0,121698.0,125350.0,128217.0,130791.0,133105.0,135883.0,140794.0,144130.0,148567.0,151809.0,154511.0,156954.0,159168.0,161440.0,163656.0,164542.0,both
1,83,Alabama,Limestone County,65930.0,66643.0,67108.0,67685.0,68407.0,69792.0,71795.0,73909.0,76314.0,78572.0,83181.0,85557.0,87326.0,88916.0,90599.0,91565.0,92847.0,94130.0,96177.0,98915.0,both
1,85,Alabama,Lowndes County,13487.0,13451.0,13459.0,13316.0,13033.0,12898.0,12711.0,12664.0,12592.0,12293.0,11289.0,11140.0,10851.0,10661.0,10494.0,10350.0,10248.0,10097.0,9974.0,9726.0,both
1,87,Alabama,Macon County,24075.0,23980.0,23651.0,23470.0,23041.0,22736.0,22544.0,22258.0,22195.0,21789.0,21505.0,21284.0,20608.0,20021.0,19641.0,19296.0,19060.0,18793.0,18321.0,18068.0,both
1,89,Alabama,Madison County,277868.0,281264.0,286037.0,290763.0,294814.0,300272.0,307509.0,313796.0,320914.0,327744.0,336095.0,339565.0,342730.0,346625.0,349796.0,352977.0,356729.0,361762.0,367004.0,372909.0,both
1,91,Alabama,Marengo County,22566.0,22179.0,22161.0,21930.0,21649.0,21405.0,21335.0,21265.0,21100.0,20943.0,20956.0,20661.0,20375.0,20119.0,19986.0,19766.0,19525.0,19396.0,19056.0,18863.0,both
1,93,Alabama,Marion County,31149.0,30588.0,30235.0,29972.0,29712.0,29493.0,29585.0,29501.0,29378.0,29116.0,30816.0,30652.0,30484.0,30224.0,30199.0,30119.0,29960.0,29792.0,29750.0,29709.0,both
1,95,Alabama,Marshall County,82333.0,82191.0,82922.0,83592.0,84161.0,85298.0,86760.0,87970.0,89200.0,90399.0,93122.0,93895.0,94260.0,94356.0,94257.0,94585.0,95113.0,95572.0,96170.0,96774.0,both
1,97,Alabama,Mobile County,400061.0,400094.0,398417.0,397707.0,397521.0,398369.0,402199.0,405234.0,409132.0,411721.0,413315.0,413068.0,413816.0,413918.0,414149.0,414462.0,414945.0,414045.0,413908.0,413210.0,both
1,99,Alabama,Monroe County,24281.0,24004.0,23803.0,23532.0,23351.0,23169.0,22986.0,22759.0,22648.0,22389.0,23005.0,22796.0,22581.0,22170.0,21926.0,21717.0,21548.0,21290.0,21062.0,20733.0,both
1,101,Alabama,Montgomery County,223413.0,222901.0,222936.0,222486.0,222085.0,222220.0,225333.0,225648.0,224525.0,224119.0,229505.0,229189.0,228874.0,228190.0,227551.0,227279.0,227170.0,227265.0,226504.0,226486.0,both
1,103,Alabama,Morgan County,111194.0,111494.0,111397.0,112287.0,112210.0,112951.0,114297.0,115148.0,116297.0,117293.0,119608.0,120024.0,120102.0,119571.0,119444.0,119257.0,119006.0,118918.0,119203.0,119679.0,both
1,105,Alabama,Perry County,11808.0,11632.0,11521.0,11241.0,11078.0,10787.0,10554.0,10726.0,10753.0,10623.0,10563.0,10450.0,10163.0,9999.0,9801.0,9640.0,9532.0,9302.0,9070.0,8923.0,both
1,107,Alabama,Pickens County,20904.0,20823.0,20708.0,20316.0,20096.0,19834.0,19698.0,19503.0,19385.0,19218.0,19749.0,19354.0,19309.0,19300.0,20272.0,20776.0,20325.0,20204.0,19980.0,19930.0,both
1,109,Alabama,Pike County,29734.0,29631.0,29279.0,29413.0,29727.0,29685.0,29975.0,30186.0,30371.0,30461.0,32970.0,33025.0,33215.0,33715.0,33199.0,33496.0,33464.0,33349.0,33242.0,33114.0,both
1,111,Alabama,Randolph County,22414.0,22470.0,22429.0,22268.0,22394.0,22472.0,22461.0,22389.0,22620.0,22577.0,22937.0,22745.0,22533.0,22547.0,22353.0,22594.0,22504.0,22687.0,22727.0,22722.0,both
1,113,Alabama,Russell County,49692.0,49408.0,49188.0,48684.0,48980.0,49094.0,49695.0,50227.0,50285.0,50846.0,53321.0,54852.0,57500.0,59149.0,59224.0,58844.0,58185.0,56985.0,57784.0,57961.0,both
1,115,Alabama,St. Clair County,65079.0,66013.0,67090.0,68292.0,69966.0,72004.0,75223.0,78515.0,80287.0,81895.0,83571.0,83975.0,84761.0,85810.0,85996.0,86546.0,87306.0,87926.0,88654.0,89512.0,both
1,117,Alabama,Shelby County,144523.0,149280.0,153918.0,159608.0,165723.0,171678.0,178840.0,183478.0,188483.0,192503.0,196032.0,197952.0,200912.0,204039.0,206280.0,208959.0,211282.0,213633.0,215583.0,217702.0,both
1,119,Alabama,Sumter County,14748.0,14555.0,14143.0,13996.0,13869.0,13640.0,13471.0,13269.0,13102.0,12853.0,13730.0,13490.0,13440.0,13394.0,13270.0,13206.0,12967.0,12749.0,12634.0,12427.0,both
1,121,Alabama,Talladega County,80338.0,80291.0,80247.0,79776.0,79746.0,79902.0,80124.0,80186.0,80495.0,80242.0,82172.0,81863.0,82146.0,81578.0,81512.0,81128.0,80552.0,80142.0,80137.0,79978.0,both
1,123,Alabama,Tallapoosa County,41743.0,41390.0,40947.0,40693.0,40605.0,40445.0,40719.0,40797.0,40920.0,41008.0,41476.0,41402.0,41048.0,41028.0,40884.0,40605.0,40586.0,40613.0,40535.0,40367.0,both
1,125,Alabama,Tuscaloosa County,165191.0,166110.0,166610.0,167484.0,169051.0,172060.0,176899.0,178998.0,181780.0,184035.0,194996.0,196745.0,198807.0,201084.0,203086.0,204767.0,206464.0,207618.0,208319.0,209355.0,both
1,127,Alabama,Walker County,70680.0,70577.0,70097.0,69514.0,69153.0,69124.0,68978.0,68655.0,68903.0,68742.0,66997.0,66585.0,66104.0,65777.0,65338.0,64931.0,64533.0,63895.0,63669.0,63521.0,both
1,129,Alabama,Washington County,18112.0,17890.0,17795.0,17743.0,17579.0,17410.0,17369.0,17124.0,17088.0,17069.0,17626.0,17355.0,17146.0,16897.0,16868.0,16832.0,16621.0,16522.0,16402.0,16326.0,both
1,131,Alabama,Wilcox County,12980.0,12908.0,12928.0,12781.0,12721.0,12642.0,12538.0,12580.0,12617.0,12384.0,11560.0,11438.0,11302.0,11145.0,10946.0,10896.0,10844.0,10691.0,10599.0,10373.0,both
