County,County_Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Acadia Parish,LA-22001,11.0,0.0,23.0,19.0,19.0,0.0,11.0,13.0,10.0,0.0,0.0,0.0,0
Ada County,ID-16001,17.0,21.0,20.0,32.0,32.0,37.0,44.0,35.0,45.0,28.0,55.0,65.0,3014
Adams County,CO-8001,42.0,46.0,63.0,62.0,70.0,50.0,67.0,53.0,88.0,91.0,78.0,88.0,6717
Adams County,IL-17001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
Adams County,OH-39001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,13
Adams County,PA-42001,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,0.0,0.0,0.0,0
Aiken County,SC-45003,10.0,16.0,13.0,25.0,19.0,18.0,21.0,25.0,22.0,26.0,27.0,26.0,30
Alachua County,FL-12001,11.0,0.0,0.0,0.0,17.0,0.0,15.0,15.0,14.0,14.0,12.0,19.0,23
Alamance County,NC-37001,0.0,0.0,11.0,10.0,11.0,19.0,20.0,0.0,16.0,19.0,15.0,16.0,14
Alameda County,CA-6001,107.0,132.0,160.0,163.0,185.0,157.0,143.0,131.0,167.0,133.0,174.0,165.0,17622
Albany County,NY-36001,0.0,0.0,0.0,11.0,28.0,15.0,10.0,24.0,26.0,13.0,29.0,25.0,27
Alexander County,NC-37003,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11
Alexandria city,VA-51510,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,11
Allegan County,MI-26005,0.0,0.0,0.0,0.0,17.0,0.0,12.0,0.0,0.0,0.0,10.0,21.0,0
Allegany County,MD-24001,15.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,11
Allegheny County,PA-42003,197.0,195.0,207.0,137.0,195.0,222.0,217.0,231.0,241.0,276.0,264.0,314.0,39816
Allen County,IN-18003,0.0,20.0,24.0,19.0,18.0,22.0,31.0,33.0,25.0,33.0,47.0,51.0,57
Allen County,OH-39003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,12.0,18
Amador County,CA-6005,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,11.0,0
Anderson County,SC-45007,12.0,18.0,19.0,18.0,25.0,29.0,41.0,33.0,32.0,28.0,36.0,35.0,39
Anderson County,TN-47001,10.0,0.0,13.0,13.0,0.0,13.0,0.0,16.0,15.0,16.0,20.0,18.0,22
Anderson County,TX-48001,0.0,11.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Androscoggin County,ME-23001,0.0,0.0,0.0,0.0,0.0,13.0,13.0,12.0,12.0,0.0,10.0,21.0,23
Anne Arundel County,MD-24003,41.0,53.0,58.0,61.0,68.0,70.0,74.0,59.0,72.0,75.0,97.0,111.0,341188
Anoka County,MN-27003,11.0,14.0,14.0,12.0,16.0,13.0,30.0,36.0,35.0,36.0,43.0,22.0,2212
Aransas County,TX-48007,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Arapahoe County,CO-8005,45.0,65.0,54.0,66.0,88.0,90.0,90.0,78.0,72.0,78.0,97.0,99.0,8117
Arlington County,VA-51013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
Armstrong County,PA-42005,0.0,0.0,0.0,14.0,0.0,0.0,0.0,13.0,15.0,14.0,14.0,17.0,26
Aroostook County,ME-23003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0
Ascension Parish,LA-22005,11.0,0.0,10.0,0.0,11.0,12.0,13.0,0.0,11.0,12.0,22.0,15.0,16
Ashtabula County,OH-39007,0.0,0.0,0.0,0.0,0.0,10.0,0.0,18.0,18.0,26.0,15.0,27.0,22
Athens County,OH-39009,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,12.0,10.0,0.0,0.0,0
