County_Code,Estimated_Deaths,Overdoses_Per_Capita,Year
LA-22001,11,0.00018726591760299626,2003
ID-16001,17,5.2114148378177044e-05,2003
CO-8001,42,0.00011088084269440447,2003
IL-17001,14,0.00020947108550908956,2003
OH-39001,10,0.00039152874176899804,2003
PA-42001,10,0.00010794791022659249,2003
SC-45003,10,6.852084061367265e-05,2003
FL-12001,11,4.8702304947268685e-05,2003
NC-37001,13,0.00010090992686369274,2003
CA-6001,107,7.37438730557807e-05,2003
NY-36001,20,6.86768286361244e-05,2003
NC-37003,10,0.00029835767660740196,2003
VA-51510,10,7.574260686293882e-05,2003
MI-26005,14,0.00013282358592689832,2003
MD-24001,15,0.00020459939438579263,2003
PA-42003,197,0.00015669792140604965,2003
IN-18003,30,8.929454722847349e-05,2003
OH-39003,14,0.00014073017493476322,2003
CA-6005,11,0.0003217071928366532,2003
SC-45007,12,7.00950956798056e-05,2003
TN-47001,10,0.0001400913395533888,2003
TX-48001,10,0.00018379846202190166,2003
ME-23001,14,0.00013858314722327343,2003
MD-24003,41,8.1116960765111e-05,2003
MN-27003,11,3.523788777693776e-05,2003
TX-48007,9,0.0003848785494355115,2003
CO-8005,45,8.747953950770404e-05,2003
VA-51013,12,6.125627876857377e-05,2003
PA-42005,16,0.00023675879307491005,2003
ME-23003,13,0.00018210343475093854,2003
LA-22005,11,0.00013132760267430755,2003
OH-39007,19,0.00019403900754754667,2003
OH-39009,11,0.0001817690805600565,2003
NJ-34001,34,0.0001298651693976548,2003
VA-51015,11,0.00017856161749354432,2003
AL-1003,10,6.591653648150711e-05,2003
MD-24005,147,0.00018986017508466213,2003
MD-24510,253,0.0003938822152060331,2003
ID-16005,12,0.00015801706584311106,2003
MA-25001,21,9.208991483875494e-05,2003
GA-13013,8,0.0001530765498278611,2003
IN-18005,11,0.00015610517586223718,2003
GA-13015,13,0.00016208496756840422,2003
TX-48021,8,0.00013190175956947266,2003
KY-21011,10,0.0009395285275025624,2003
FL-12005,21,0.0001357237956128899,2003
MI-26017,16,0.0001485263662323905,2003
SC-45013,8,6.687839872306844e-05,2003
PA-42007,20,0.00011243092525029934,2003
PA-42009,11,0.00022106553588295585,2003
VA-51019,8,0.00014440054084566208,2003
NH-33001,12,0.00021466078092491277,2003
KY-21013,15,0.0005071165353798303,2003
TX-48027,14,5.5277013514571745e-05,2003
OH-39013,13,0.00020187551970929926,2003
AR-5007,12,7.159475910183768e-05,2003
TN-47005,10,0.0006112469437652812,2003
WA-53005,10,6.553681202731574e-05,2003
NJ-34003,55,6.181588083696454e-05,2003
SC-45015,14,9.548069092096798e-05,2003
WV-54003,17,0.0002004622423470591,2003
PA-42011,27,7.021248377961602e-05,2003
MA-25003,17,0.00013244054035740465,2003
NM-35001,144,0.0002470042162247464,2003
MI-26021,20,0.00012485500708854234,2003
TX-48029,109,7.455275188570584e-05,2003
GA-13021,13,8.448415922014622e-05,2003
PA-42013,21,0.00016555769291413074,2003
AL-1009,11,0.00021524414587998402,2003
TN-47009,14,0.00012602281012863328,2003
ID-16019,14,0.0001719457979411566,2003
IN-18011,9,0.00018307567127746134,2003
KY-21015,11,0.00011373388339175119,2003
MO-29019,11,7.771435030803142e-05,2003
WV-54005,17,0.0006729405962972857,2003
LA-22015,16,0.00015716629175957487,2003
CO-8013,20,7.089031142113807e-05,2003
KY-21019,17,0.0003444229747637199,2003
TN-47011,16,0.0001881741980884174,2003
TX-48039,13,4.978325138244259e-05,2003
TX-48041,12,7.752617011658124e-05,2003
KY-21025,11,0.0007116472940458844,2003
FL-12009,97,0.00019284869330099308,2003
MA-25005,99,0.0001813788087259696,2003
RI-44001,11,0.00022415128173778373,2003
NY-36005,131,9.677095275804602e-05,2003
WV-54009,12,0.0005086685600440846,2003
NY-36007,19,9.978312672964469e-05,2003
FL-12011,230,0.00013379303845735462,2003
OH-39015,15,0.00035873222094026625,2003
WI-55009,15,6.587612872341943e-05,2003
NC-37019,10,0.00012363996043521266,2003
OK-40013,10,0.0002761604492209974,2003
MO-29021,10,0.00012626168849013303,2003
VA-51027,12,0.00048325419170483676,2003
PA-42017,69,0.00011309046745698874,2003
KY-21029,14,0.00021316695912133618,2003
NC-37021,22,0.00010318465362787862,2003
IL-17011,11,0.00032844644829954314,2003
NC-37023,10,0.00011249985937517578,2003
NJ-34005,26,5.8746308585321104e-05,2003
KS-20015,9,0.00014877508513240983,2003
KY-21031,10,0.000785299198994817,2003
MO-29023,12,0.00031419370041630665,2003
OH-39017,22,6.437152905789341e-05,2003
PA-42019,13,7.276228003403035e-05,2003
CA-6007,40,0.00018905021173623715,2003
NC-37025,16,0.00011632891058216585,2003
WV-54011,19,0.00019952114924181964,2003
UT-49005,9,8.984098146281082e-05,2003
LA-22017,22,8.821630638325173e-05,2003
CA-6009,9,0.00020451291839934557,2003
LA-22019,25,0.00013617373589920964,2003
NC-37027,14,0.0001867999671232058,2003
AL-1015,15,0.00013616406036276582,2003
MI-26025,15,0.00010828683015571647,2003
MD-24009,10,0.00013131537947918984,2003
PA-42021,20,0.00013448994687647098,2003
GA-13039,8,0.00019879530047909667,2003
NJ-34007,49,9.596853798787272e-05,2003
TX-48061,14,3.94118731446225e-05,2003
KY-21037,13,0.00014810764007564884,2003
TN-47013,14,0.0003682124369165457,2003
OK-40017,10,0.00011183656301929546,2003
ID-16027,11,7.419432004103713e-05,2003
MO-29031,9,0.000128915817970865,2003
NJ-34009,20,0.00020126498287949162,2003
PA-42025,12,0.0002142183511979247,2003
MD-24011,10,0.0003344786693830389,2003
GA-13045,16,0.0001649139849318318,2003
MD-24013,23,0.00014171200423903734,2003
NH-33003,12,0.00028338721188966794,2003
VA-51035,9,0.00030875844797420153,2003
NV-32510,14,0.0002646915202876923,2003
KY-21043,13,0.0005115587927212492,2003
OK-40019,12,0.0002752749789843833,2003
TN-47019,11,0.000201357852299638,2003
NC-37031,12,0.00020060640450275403,2003
